PropertyName,LandRegistryFound,ContactMade,SiteVisitBooked,ContractQuoted,SignedBuildingAquired,Closed,DateOfFinding
Salvation Army Counceling Center,N,N,N,N,N,N,11/12/2023
Lldco Limited,N,N,N,N,N,N,16/12/2023
"Manor Ballet ",N,N,N,N,N,N,15/02/2024
Continental House,N,N,N,N,N,N,05/03/2024
Hollywell Row,N,N,N,N,N,N,05/03/2024
Gas Station,N,N,N,N,N,N,31/03/2024
York & Albany,N,N,N,N,N,N,31/03/2024
63-65 Piccadilly,N,N,N,N,N,N,07/04/2024
MNKY HSE,N,N,N,N,N,N,07/04/2024
Princess May Road,N,N,N,N,N,N,16/04/2024
Broadway Bar & Grill,N,N,N,N,N,N,16/04/2024
The Monarch,N,N,N,N,N,N,13/04/2024
Mr Whites,N,N,N,N,N,N,13/04/2024
King's House,N,N,N,N,N,N,30/04/2024
Waterman House,N,N,N,N,N,N,08/05/2024
The Victoria Pub,N,N,N,N,N,N,
Ferdinand Street,N,N,N,N,N,N,02/05/2024
51 Parker Street,N,N,N,N,N,N,19/5/2024
Space Centre,N,N,N,N,N,N,22/05/2024
Camberwell Magistrate Court,N,N,N,N,N,N,21/05/2024
Colton Arms,N,N,N,N,N,N,13/05/2024
Rileys,N,N,N,N,N,N,29/05/2024
"Imperial Arms ",N,N,N,N,N,N,29/05/2024
Spa Illuminata,N,N,N,N,N,N,2/5/2024
"Judd Street Spa ",N,N,N,N,N,N,28/06/2024
Hallam Hotel,N,N,N,N,N,N,07/04/2024
Earls Court Rd,N,N,N,N,N,N,
Hardinge Street,N,N,N,N,N,N,01/12/2022
Bakers Row,N,N,N,N,N,N,
Tavistock Place,N,N,N,N,N,N,01/04/2023
Diorama Offices,N,N,N,N,N,N,14/10/2023
Fitzrovia House,N,N,N,N,N,N,28/01/2024
Lincoln's Inn,N,N,N,N,N,N,20/02/2023
"Pub ",N,N,N,N,N,N,
"Tabernacle Street ",N,N,N,N,N,N,05/03/2024
"Clifton House ",N,N,N,N,N,N,05/03/2024
Acorn House,N,N,N,N,N,N,
West End Police Station,N,N,N,N,N,N,24/07/2023
The Mawson Arms,N,N,N,N,N,N,
Traymans,N,N,N,N,N,N,N/A
Basing House,N,N,N,N,N,N,05/03/2024
London Grand Division Hotel,N,N,N,N,N,N,12/09/2023
Brunswick Wharf,N,N,N,N,N,N,
Seoul Plaza,N,N,N,N,N,N,22/02/2024
St. James Road,N,N,N,N,N,N,23/02/2024
Unit 7 Orbital Ind Est,N,N,N,N,N,N,
"Redchurch Street ",N,N,N,N,N,N,05/03/2024
"Redchurch Street ",N,N,N,N,N,N,05/03/2024
Pitfield Street,N,N,N,N,N,N,05/03/2024
"Canada Water ",N,N,N,N,N,N,
Brick Lane,N,N,N,N,N,N,
The Annex,N,N,N,N,N,N,
Hatton Garden / Utopia Squat,N,N,N,N,N,N,
Blenheim Care Center,N,N,N,N,N,N,N/A
Rosebery Avenue,N,N,N,N,N,N,20/02/2023
St. Andrew's URC,N,N,N,N,N,N,21/12/2024
"The Gas Station ",N,N,N,N,N,N,23/03/2024
Archway Elthorne,N,N,N,N,N,N,23/03/2024
Four Sisters Pub,N,N,N,N,N,N,26/03/2024
Dans Cards,N,N,N,N,N,N,26/03/2024
153 Essex Road,N,N,N,N,N,N,26/03/2024
149 Essex road N1,N,N,N,N,N,N,26/03/2024
Colebrooke row N1,N,N,N,N,N,N,26/03/2024
47 Upper Street,N,N,N,N,N,N,26/03/2024
218 Upper Street,N,N,N,N,N,N,26/03/2024
113 Holloway Road,N,N,N,N,N,N,26/03/2024
Greek Mama,N,N,N,N,N,N,26/03/2024
11 Broadway,N,N,N,N,N,N,04/04/2024
Stratford Offices,N,N,N,N,N,N,04/04/2024
"Populo Living ",N,N,N,N,N,N,04/04/2024
"Zap Space ",N,N,N,N,N,N,04/04/2024
373 High Street,N,N,N,N,N,N,04/04/2024
Wilko Stratford,N,N,N,N,N,N,04/04/2024
Prime Time,N,N,N,N,N,N,04/04/2024
Ashwin Street,N,N,N,N,N,N,04/04/2024
"The Fox ",N,N,N,N,N,N,04/04/2024
"Station Road, NW4",N,N,N,N,N,N,12/04/2024
365 Euston Road,N,N,N,N,N,N,12/04/2024
360 Euston Road,N,N,N,N,N,N,12/04/2024
Latimer House,N,N,N,N,N,N,12/04/2024
"Tower Tavern ",N,N,N,N,N,N,12/04/2024
301 Euston Road,N,N,N,N,N,N,12/04/2024
23 Fitzroy St,N,N,N,N,N,N,12/04/2024
"Cavendish Place ",N,N,N,N,N,N,12/04/2024
Brooke Street,N,N,N,N,N,N,12/04/2024
Ormsby Palace,N,N,N,N,N,N,15/04/2024
Chatham Place,N,N,N,N,N,N,15/04/2024
Willowood,N,N,N,N,N,N,
Kitson Road,N,N,N,N,N,N,21/05/2024
Camberwell Church Street,N,N,N,N,N,N,21/05/2024
"Camberwell Police Station ",N,N,N,N,N,N,21/05/2024
"Royal Mail ",N,N,N,N,N,N,29/05/2024
Reid's Stout,N,N,N,N,N,N,29/05/2024
Wood Street,N,N,N,N,N,N,06/06/2024
Blackhouse,N,N,N,N,N,N,06/06/2024
Rutland,N,N,N,N,N,N,06/06/2024
Place below Drip London,N,N,N,N,N,N,06/06/2024
St.John Street,N,N,N,N,N,N,06/06/2024
Nasuwt,N,N,N,N,N,N,06/06/2024
Balham Road,N,N,N,N,N,N,12/06/2024
Oldridge Road,N,N,N,N,N,N,12/06/2024
Silmore Lodge,N,N,N,N,N,N,12/06/2024
"High Road Balham ",N,N,N,N,N,N,12/06/2024
"High Road Balham ",N,N,N,N,N,N,12/06/2024
Tradscant,N,N,N,N,N,N,23/06/2024
Hotel Elephant,N,N,N,N,N,N,23/06/2024
Flint Street,N,N,N,N,N,N,23/06/2024
,,,,,,,